Model,Quantity,Avg_Quality,Max_Quality,Unique_Keys,Novelty_Score,Novelty_Ratio,Matched_Standard,ModelName,Snippet,Color,Norm_Quantity,Norm_Quality,Norm_Novelty,Composite_Score
deepseek_r1_snippet_1,2,8.5,9,10,9,0.9,1,deepseek,1,#A569BD,0.0,0.9996001599360256,0.9997500624843788,0.4998000799680128
llama_3.1_snippet_1,4,6.0,6,6,5,0.8333333333333334,1,llama,1,#F39C12,0.9995002498750625,0.0,0.0,0.49975012493753124
llama_3.1_snippet_2,2,6.0,6,6,5,0.8333333333333334,1,llama,2,#F39C12,0.0,0.0,0.0,0.0
qwen_2.5_snippet_1,4,6.75,8,8,7,0.875,1,qwen,1,#45B39D,0.9995002498750625,0.2998800479808077,0.4998750312421894,0.6496901489279351
qwen_2.5_snippet_2,4,6.75,7,7,6,0.8571428571428571,1,qwen,2,#45B39D,0.9995002498750625,0.2998800479808077,0.2499375156210947,0.6496901489279351
